Var1
100,0194278
103,9770584
100,5607896
99,41955445
99,89886431
99,87256519
102,0727012
114,0962835
114,4894675
110,5157855
101,3352415
103,7786721
95,36686392
92,40189414
97,72265738
96,36825526
95,17598371
94,42388464
92,66235633
93,28165715
99,24214563
99,90856521
95,52176608
91,27377497
104,0503588
110,8528651
100,5548789
99,62535994
98,49391957
91,35366918
84,91781143
88,16947449
95,26774714
99,69587211
100,3144255
98,97710198
101,3306874
102,4094567
98,76531856
99,69223332
102,5451879
100,4331478
105,9549425
101,9424526
104,7218448
106,9004152
107,317607
109,6179002
108,0294643
104,798995
97,20912585
103,657677
109,0522151
101,2909528
95,69948191
99,49899803
103,4647568
99,27441965
106,7443533
112,7856091
108,6117332
104,0222422
114,0230696
113,2766832
106,6908724
100,5486115
104,9233917
96,94122908
91,81034407
98,88571263
95,23294275
88,50828239
90,88258982
90,79619812
95,14833588
101,7287914
94,54762365
97,83033457
91,29069782
95,76191638
98,07394502
90,59725169
90,8938952
96,56811073
100,5653711
100,908492
104,1121569
100,8375672
108,9526044
108,606486
102,1947362
92,85351275
98,50580133
98,18639106
97,71006513
101,9293601
104,2104853
100,538713
98,21761344
100,593434
107,8636522
105,2982973
103,2183489
97,87071988
95,24360675
103,021337
100,9119371
97,35535851
100,044689
102,7397773
104,2867321
103,9350752
109,7422901
106,4994745
105,1903264
108,7166325
114,3237144
108,8885837
110,4022887
110,401414
101,4169598
100,7829123
105,7128425
104,9397394
105,2483517
107,8010221
107,0437028
103,4608517
102,8350849
97,74297143
95,9720392
101,3582971
102,6022627
105,1076292
97,7488443
95,78605819
92,58083745
97,50393805
98,60670545
94,07742991
95,78402499
97,55441218
97,60610019
103,7356158
107,3551782
97,98977989
95,7554817
93,50703242
88,44873754
90,89609029
100,5190763
93,79901946
96,82554007
97,04620815
97,65068892
94,91024371
95,68343361
91,61863577
93,00406213
92,28989026
94,53154203
104,806479
105,3686107
99,76623485
88,72016147
101,4207962
112,3631928
97,15694348
92,10483252
102,9326917
107,6809795
100,9945737
107,2065399
108,7760093
113,1571973
109,685038
103,1550447
109,0228498
98,7389161
111,0383421
104,3174909
107,1462789
110,9751652
111,1314942
112,750687
110,6115983
109,7097555
102,0625267
102,19195
97,05734742
96,71787132
95,56801105
103,9030015
99,98596233
105,8101167
107,6050131
104,4034807
99,13374219
109,2342324
103,4171904
